,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
0,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D24300,ARB00020_USD,,,,35066.1,,,,,,C00020,,,,
1,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D21300,ARB00054_USD,,,,10815.0,,,,,,C00054,,,,
2,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D21300,ARB00055_USD,,,,,5929.850000000006,,,,,C00054,,,,
3,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D21300,ARB00068_USD,,,,,32102.5,,,,,C03068,,,,
4,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D21300,ARB00090_USD,,,,,9640.5,,,,,C00090,,,,
5,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D23300,ARB00110_USD,,,,167.5,,,,,,C00110,,,,
6,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D23300,ARB00112_USD,,,,2582.5,,,,,,C00112,,,,
7,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D23300,ARB00113_USD,,,,27.819999999999936,,,,,,C00112,,,,
8,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D23300,ARB00122_USD,,,,,9630.5,,,,,C00122,,,,
9,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,303P,D23080,ARB00123_USD,,,,,70240.0,,,,,C01231,,,,
