,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
0,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D24300,ARB00020_USD,,,,2491.8999999999996,,,,,,C00020,,,,
1,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D24300,ARB00022_USD,,,,,645.0,,,,,C00022,,,,
2,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D24300,ARB00023_USD,,,,,937.5,,,,,C00023,,,,
3,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D21300,ARB00033_USD,,,,,216.92999999999938,,,,,C00033,,,,
4,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D21300,ARB00054_USD,,,,8207.5,,,,,,C00054,,,,
5,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D21300,ARB00055_USD,,,,,7967.5,,,,,C00054,,,,
6,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D21300,ARB00068_USD,,,,,8042.5,,,,,C03068,,,,
7,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D21300,ARB00090_USD,,,,,5702.5,,,,,C00090,,,,
8,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D23300,ARB00110_USD,,,,,3255.0,,,,,C00110,,,,
9,,GJ,4/2/2025,,"Wedbush_Trading gain (loss), net_20250402",,,,12100,303P,D23300,ARB00112_USD,,,,,7475.0,,,,,C00112,,,,
