,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00020_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00020_USD,,,,,1519.8,,,,,,,,,
ARB00054_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00054_USD,,,,,4223.25,,,,,,,,,
ARB00055_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00055_USD,,,,,126.0,,,,,,,,,
ARB00068_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00068_USD,,,,,2046.75,,,,,,,,,
ARB00090_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00090_USD,,,,,408.0,,,,,,,,,
ARB00110_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00110_USD,,,,,265.8,,,,,,,,,
ARB00112_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00112_USD,,,,,352.5,,,,,,,,,
ARB00113_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00113_USD,,,,,232.65,,,,,,,,,
ARB00122_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00122_USD,,,,,53.550000000000004,,,,,,,,,
ARB00123_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00123_USD,,,,,98.1,,,,,,,,,
ARB00124_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00124_USD,,,,,192.45,,,,,,,,,
ARB00126_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00126_USD,,,,,13.35,,,,,,,,,
ARB00132_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00132_USD,,,,,1245.15,,,,,,,,,
ARB00135_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00135_USD,,,,,33.0,,,,,,,,,
ARB00143_USD,,,,,Wedbush_Brokerage Commissions_20260529,,,,12100,,,ARB00143_USD,,,,,74.55,,,,,,,,,
