Class_ID,COMMISSION
ARB00005_USD,216235.59999999998
ARB00020_USD,-1119.6
ARB00054_USD,-2672.1
ARB00055_USD,-126.0
ARB00068_USD,-1777.95
ARB00090_USD,-371.55
ARB00110_USD,-226.5
ARB00112_USD,-330.0
ARB00113_USD,-208.35000000000002
ARB00122_USD,-53.550000000000004
ARB00123_USD,-87.9
ARB00124_USD,-161.55
ARB00126_USD,-13.05
ARB00132_USD,-1042.5
ARB00135_USD,-29.4
ARB00143_USD,-67.05
ARB00146_USD,-31.5
ARB00149_USD,-77.1
ARB00156_USD,-3698.25
ARB00160_USD,-134.25
ARB00161_USD,-622.35
ARB00169_USD,-1777.95
ARB00186_USD,-300.0
ARB00188_USD,-33.45
ARB00193_USD,-1519.65
ARB00194_USD,-1940.85
ARB00214_USD,-90.9
ARB00215_USD,-1045.2
ARB00220_USD,-236.4
ARB00257_USD,-1130.1
ARB00267_USD,-123.9
ARB00300_EUR,146948.22
ARB00300_USD,64989.49
ARB00306_USD,0.0
ARB00311_USD,12.0
ARB00320_EUR,-707.4000000000001
ARB00354_USD,-220.8
ARB00355_EUR,-13.8
ARB00390_USD,-477.29999999999995
ARB00410_EUR,-2.4
ARB00412_EUR,-43.2
ARB00412_USD,-76.8
ARB00422_EUR,-4.8
ARB00422_USD,-729.45
ARB00423_EUR,-6.6
ARB00423_USD,-2358.75
ARB00424_EUR,-84.45
ARB00424_USD,-2072.85
ARB00425_EUR,-101.1
ARB00425_USD,-2915.1
ARB00426_EUR,-31.05
ARB00426_USD,-910.35
ARB00432_EUR,-406.8
ARB00432_USD,-6.6
ARB00435_EUR,-3.9
ARB00435_USD,-1743.75
ARB00442_USD,-30.0
ARB00443_USD,-30.0
ARB00446_EUR,-68.1
ARB00446_USD,-659.55
ARB00449_EUR,-13.8
ARB00449_USD,-415.34999999999997
ARB00456_EUR,-71.1
ARB00456_USD,-405.9
ARB00460_USD,-269.4
ARB00461_USD,-231.0
ARB00469_EUR,-35.55
ARB00469_USD,-1464.45
ARB00486_EUR,-1.5
ARB00486_USD,-87.9
ARB00488_USD,-15.599999999999998
ARB00493_EUR,-42.15
ARB00493_USD,-444.0
ARB00494_EUR,-25.65
ARB00494_USD,-2085.75
ARB00503_EUR,-6.0
ARB00503_USD,-107.1
ARB00514_EUR,-12.0
ARB00514_USD,-6.6
ARB00520_USD,-0.6
ARB00567_EUR,-53.699999999999996
ARB00567_USD,-160.8
ARB00700_USD,1720.29
ARB00754_USD,-1290.45
ARB00765_USD,-21.0
ARB01002_USD,-166.2
ARB01057_USD,-290.85
ARB01063_USD,-4105.35
ARB01064_USD,-1159.8
ARB01065_USD,-401.4
ARB01066_USD,-110.39999999999999
ARB01067_USD,-3.0
ARB01071_USD,-855.6
ARB01073_USD,-2206.8
ARB01076_USD,-4273.65
ARB01078_USD,-1070.7
ARB01092_USD,-13767.9
ARB01100_USD,-22.799999999999997
ARB01117_USD,-3.6
ARB01129_USD,-1.8
ARB01145_USD,-3472.8
