,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_CALCULATION,Prev_Bal,Bal,TRD_RESULT,Final
0,ARB00020_USD,2901.8999999999996,0.0,-65.1,0.0,-108.56,0.0,0.0,0.0,0.0,-173.66,-42317.5,0.0,0.0,-3182.72,-42727.5,0.0,0.0,-864.48,-410.0,2491.8999999999996,-3182.72,-864.48,2318.24,173.66
1,ARB00022_USD,-645.0,0.0,-21.900000000000002,0.0,-98.78,0.0,0.0,0.0,0.0,-120.68,0.0,0.0,0.0,-114136.74,0.0,0.0,0.0,-114902.42,0.0,-645.0,-114136.74,-114902.42,-765.679999999993,120.68
2,ARB00023_USD,-937.5,0.0,-1.5,0.0,-4.0,0.0,0.0,0.0,0.0,-5.5,0.0,0.0,0.0,-14687.16,0.0,0.0,0.0,-15630.16,0.0,-937.5,-14687.16,-15630.16,-943.0,5.5
3,ARB00033_USD,-4667.03,0.0,-491.54999999999995,0.0,-690.12,0.0,0.0,0.0,0.0,-1181.67,1999.9,0.0,0.0,-13361.9,6450.0,0.0,0.0,-14760.5,4450.1,-216.92999999999938,-13361.9,-14760.5,-1398.6000000000004,1181.67
4,ARB00054_USD,0.0,2660.0,-237.75,0.0,-570.6,0.0,0.0,0.0,0.0,-808.35,0.0,-47700.0,43767.5,10373.16,0.0,-3200.0,4815.0,17772.31,5547.5,8207.5,10373.16,17772.31,7399.1500000000015,808.35
5,ARB00055_USD,0.0,1650.0,-3.75,0.0,-20.0,0.0,0.0,0.0,0.0,-23.75,-471.25,-660937.5,670937.5,-8959.24,-26.25,-655725.0,655662.5,-16950.49,-9617.5,-7967.5,-8959.24,-16950.49,-7991.250000000002,23.75
6,ARB00068_USD,-164375.0,156062.5,-392.70000000000005,0.0,-943.28,0.0,0.0,0.0,0.0,-1335.98,0.0,0.0,0.0,115856.15,0.0,-4650.0,4920.0,106477.67,270.0,-8042.5,115856.15,106477.67,-9378.479999999996,1335.98
7,ARB00090_USD,-4425.0,0.0,-52.05,0.0,-128.04,0.0,0.0,0.0,0.0,-180.08999999999997,0.0,0.0,0.0,-83192.28,-1277.5,0.0,0.0,-89074.87,-1277.5,-5702.5,-83192.28,-89074.87,-5882.5899999999965,180.09
8,ARB00110_USD,-5685.0,0.0,-11.100000000000001,0.0,-39.44,0.0,0.0,0.0,0.0,-50.54,5380.0,0.0,0.0,28187.24,7810.0,0.0,0.0,24881.7,2430.0,-3255.0,28187.24,24881.7,-3305.540000000001,50.54
9,ARB00112_USD,-11475.0,0.0,-66.6,0.0,-84.36,0.0,0.0,0.0,0.0,-150.95999999999998,66087.5,0.0,0.0,18371.69,70087.5,0.0,0.0,10745.73,4000.0,-7475.0,18371.69,10745.73,-7625.959999999999,150.96
10,ARB00113_USD,0.0,-145.0,-89.7,0.0,-134.36,0.0,0.0,0.0,0.0,-224.06,0.0,-79567.5,82698.75,17286.88,0.0,-150581.25,151650.0,14855.32,-2062.5,-2207.5,17286.88,14855.32,-2431.5600000000013,224.06
11,ARB00122_USD,848.5,0.0,-0.15,0.0,-0.08,0.0,0.0,0.0,0.0,-0.22999999999999998,311.5,0.0,0.0,7449.26,-531.5,0.0,0.0,7454.53,-843.0,5.5,7449.26,7454.53,5.269999999999527,0.23
12,ARB00123_USD,21467.5,0.0,-100.2,0.0,-210.5,0.0,0.0,0.0,0.0,-310.7,72763.0,0.0,0.0,47766.79,48210.0,0.0,0.0,44370.59,-24553.0,-3085.5,47766.79,44370.59,-3396.2000000000044,310.7
13,ARB00124_USD,3738.0,4625.0,-10.5,0.0,-39.72,0.0,0.0,0.0,0.0,-50.22,2256.0,0.0,4750.0,43951.5,-4975.0,0.0,0.0,40283.28,-11981.0,-3618.0,43951.5,40283.28,-3668.220000000001,50.22
14,ARB00126_USD,-2118.0,0.0,-2.55,0.0,-9.52,0.0,0.0,0.0,0.0,-12.07,-17893.0,0.0,0.0,-5237.21,-20627.0,0.0,0.0,-10101.28,-2734.0,-4852.0,-5237.21,-10101.28,-4864.070000000001,12.07
15,ARB00132_USD,666.72,0.0,-24.0,0.0,-57.6,0.0,0.0,0.0,0.0,-81.6,3060.0,0.0,0.0,3479.9,900.0,0.0,0.0,1905.02,-2160.0,-1493.28,3479.9,1905.02,-1574.88,81.6
16,ARB00135_USD,175.0,0.0,-25.200000000000003,0.0,-85.68,0.0,0.0,0.0,0.0,-110.88000000000001,-1412.5,0.0,0.0,6045.8,-107.5,0.0,0.0,7414.92,1305.0,1480.0,6045.8,7414.92,1369.12,110.88
17,ARB00141_USD,-10698.0,0.0,-44.4,0.0,-163.46,0.0,0.0,0.0,0.0,-207.86,486.0,0.0,0.0,7280.92,14004.5,0.0,0.0,9893.56,13518.5,2820.5,7280.92,9893.56,2612.6399999999994,207.86
18,ARB00143_USD,-4884.0,0.0,-3.0,0.0,-11.2,0.0,0.0,0.0,0.0,-14.2,-1461.0,0.0,0.0,-8588.32,-198.0,0.0,0.0,-12223.52,1263.0,-3621.0,-8588.32,-12223.52,-3635.2000000000007,14.2
19,ARB00146_USD,3798.5,0.0,-6.6,0.0,-23.44,0.0,0.0,0.0,0.0,-30.04,-6437.5,0.0,0.0,9516.82,-12527.5,0.0,0.0,7195.28,-6090.0,-2291.5,9516.82,7195.28,-2321.54,30.04
20,ARB00149_USD,2046.5,0.0,-18.0,0.0,-67.19999999999999,0.0,0.0,0.0,0.0,-85.19999999999999,-14569.5,0.0,0.0,3392.6,-12832.5,0.0,0.0,7090.9,1737.0,3783.5,3392.6,7090.9,3698.2999999999997,85.2
21,ARB00156_USD,4698.75,11150.0,-242.55,0.0,-333.35999999999996,0.0,0.0,0.0,0.0,-575.91,-144955.29,-408280.0,424262.5,-83295.05,-154406.24,-417612.5,436480.0,-74588.16,-6565.949999999953,9282.800000000047,-83295.05,-74588.16,8706.89,575.91
22,ARB00159_USD,10962.5,0.0,-18.0,0.0,-22.8,0.0,0.0,0.0,0.0,-40.8,3012.5,0.0,0.0,864.1,-8612.5,0.0,0.0,160.8,-11625.0,-662.5,864.1,160.8,-703.3,40.8
