,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_CALCULATION,Prev_Bal,Bal,TRD_RESULT,Final
0,ARB00017_USD,817.5,0.0,-2.1,0.0,-28.5,0.0,0.0,0.0,0.0,-30.6,0.0,0.0,0.0,2622.7,0.0,0.0,0.0,3409.6,0.0,817.5,2622.7,3409.6,786.9000000000001,30.6
1,ARB00020_USD,-157390.28,0.0,-4235.7,0.0,-5494.91,0.0,0.0,0.0,0.0,-9730.61,-67056.43,0.0,0.0,4456.62,-2650.0,0.0,0.0,-102714.46,64406.42999999999,-92983.85,4456.62,-102714.46,-107171.08,14187.23
2,ARB00033_USD,-11455.370000001043,0.0,-2862.45,0.0,-4023.3700000000003,0.0,0.0,0.0,0.0,-6885.82,3020.83,0.0,0.0,-57466.93,0.0,0.0,0.0,-78828.95,-3020.83,-14476.200000001043,-57466.93,-78828.95,-21362.019999999997,6885.82
3,ARB00054_USD,0.0,56370.0,-4951.05,0.0,-11882.519999999999,0.0,0.0,0.0,0.0,-16833.57,0.0,-153165.0,131352.5,12608.35,0.0,-15012.5,15225.0,74169.78,22025.0,78395.0,12608.35,74169.78,61561.43,16833.57
4,ARB00055_USD,-38230.0,-4375.0,-818.1,0.0,-1248.1,0.0,0.0,0.0,0.0,-2066.2,-342.5,-261250.0,269375.0,-7655.85,-27812.5,-75000.0,84375.0,-78547.05,-26220.0,-68825.0,-7655.85,-78547.05,-70891.2,2066.2
5,ARB00068_USD,57742.5,59775.0,-2191.5,0.0,-5262.68,0.0,0.0,0.0,0.0,-7454.18,25177.5,0.0,10531.25,89203.4,-140027.5,0.0,0.0,23530.47,-175736.25,-58218.75,89203.4,23530.47,-65672.93,7454.18
6,ARB00090_USD,6647.1,-31750.0,-1601.6999999999998,0.0,-3494.0,0.0,0.0,0.0,0.0,-5095.7,0.0,0.0,0.0,-184915.98,-750.0,0.0,14975.0,-200889.58,14225.0,-10877.900000000001,-184915.98,-200889.58,-15973.599999999977,5095.7
7,ARB00110_USD,-5132.5,0.0,-203.4,0.0,-708.4599999999999,0.0,0.0,0.0,0.0,-911.8599999999999,-5222.5,0.0,0.0,-926.72,1190.0,0.0,0.0,-558.58,6412.5,1280.0,-926.72,-558.58,368.14,911.86
8,ARB00112_USD,-52687.5,0.0,-1241.4,0.0,-1572.44,0.0,0.0,0.0,0.0,-2813.84,-34937.5,0.0,0.0,-497.19,225.0,0.0,0.0,-20836.03,35162.5,-17525.0,-497.19,-20836.03,-20338.84,2813.84
9,ARB00113_USD,0.0,-562.5,-206.1,0.0,-356.24,0.0,0.0,0.0,0.0,-562.34,0.0,-54045.0,57330.0,3458.87,0.0,-51657.5,53995.0,1386.53,-947.5,-1510.0,3458.87,1386.53,-2072.34,562.34
