,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
0,ARB00005_USD,0.0,0.0,216235.59999999998,0.0,60736.33,0.0,0.0,0.0,0.0,276971.93
1,ARB00020_USD,-4108.500000000002,0.0,-1519.8,0.0,-1981.48,0.0,0.0,0.0,0.0,-3501.2799999999997
2,ARB00054_USD,0.0,16827.5,-4223.25,0.0,-10135.800000000001,0.0,0.0,0.0,0.0,-14359.050000000001
3,ARB00055_USD,-5617.5,937.5,-126.0,0.0,-159.9,0.0,0.0,0.0,0.0,-285.9
4,ARB00068_USD,-106085.0,-31647.5,-2046.75,0.0,-4835.52,0.0,0.0,0.0,0.0,-6882.27
5,ARB00090_USD,-7843.5,0.0,-408.0,0.0,-865.66,0.0,0.0,0.0,0.0,-1273.6599999999999
6,ARB00110_USD,-6615.0,0.0,-265.8,0.0,-929.52,0.0,0.0,0.0,0.0,-1195.32
7,ARB00112_USD,11995.0,0.0,-352.5,0.0,-446.28000000000003,0.0,0.0,0.0,0.0,-798.78
8,ARB00113_USD,-1520.93,1542.5,-232.65,0.0,-558.36,0.0,0.0,0.0,0.0,-791.01
9,ARB00122_USD,-9567.5,0.0,-53.550000000000004,0.0,-54.22,0.0,0.0,0.0,0.0,-107.77000000000001
10,ARB00123_USD,-60912.5,-124505.0,-98.1,0.0,-267.03000000000003,0.0,0.0,0.0,0.0,-365.13
11,ARB00124_USD,2915.5,0.0,-192.45,0.0,-713.0699999999999,0.0,0.0,0.0,0.0,-905.52
12,ARB00126_USD,1772.5,0.0,-13.35,0.0,-48.76,0.0,0.0,0.0,0.0,-62.11
13,ARB00132_USD,-33517.5,17160.0,-1245.15,0.0,-3015.28,0.0,0.0,0.0,0.0,-4260.43
14,ARB00135_USD,-1032.5,0.0,-33.0,0.0,-112.2,0.0,0.0,0.0,0.0,-145.2
15,ARB00143_USD,1410.0,0.0,-74.55,0.0,-280.28,0.0,0.0,0.0,0.0,-354.83
16,ARB00146_USD,-5510.0,0.0,-38.1,0.0,-129.54000000000002,0.0,0.0,0.0,0.0,-167.64000000000001
17,ARB00149_USD,10878.5,0.0,-142.5,0.0,-685.76,0.0,0.0,0.0,0.0,-828.26
18,ARB00156_USD,28348.9,73988.75,-5238.6,0.0,-13652.74,0.0,0.0,0.0,0.0,-18891.34
19,ARB00160_USD,5.5,0.0,-180.29999999999998,0.0,-746.64,0.0,0.0,0.0,0.0,-926.9399999999999
20,ARB00161_USD,-14590.75,0.0,-717.45,0.0,-1865.72,0.0,0.0,0.0,0.0,-2583.17
21,ARB00169_USD,67173.02,0.0,-2500.05,0.0,-12111.64,0.0,0.0,0.0,0.0,-14611.689999999999
22,ARB00186_USD,21360.0,0.0,-357.6,0.0,-1514.22,0.0,0.0,0.0,0.0,-1871.8200000000002
23,ARB00188_USD,-7904.5,0.0,-37.35,0.0,-123.86000000000001,0.0,0.0,0.0,0.0,-161.21
24,ARB00193_USD,-222.5,3950.0,-1731.15,0.0,-6031.76,0.0,0.0,0.0,0.0,-7762.91
25,ARB00194_USD,-13547.800000000003,0.0,-2089.35,0.0,-7764.88,0.0,0.0,0.0,0.0,-9854.23
26,ARB00203_USD,10.0,0.0,-1.2,0.0,-6.0,0.0,0.0,0.0,0.0,-7.2
27,ARB00214_USD,4832.6,0.0,-440.1,0.0,-1353.9,0.0,0.0,0.0,0.0,-1794.0
28,ARB00215_USD,18840.26,0.0,-3222.0000000000005,0.0,-9374.92,0.0,0.0,0.0,0.0,-12596.92
29,ARB00220_USD,9827.9,0.0,-550.5,0.0,-2184.7,0.0,0.0,0.0,0.0,-2735.2
30,ARB00257_USD,17382.84,0.0,-1810.8,0.0,-8397.98,0.0,0.0,0.0,0.0,-10208.779999999999
31,ARB00267_USD,45384.32,0.0,-211.8,0.0,-1165.52,0.0,0.0,0.0,0.0,-1377.32
32,ARB00300_EUR,0.0,0.0,146948.22,0.0,0.0,0.0,0.0,0.0,0.0,146948.22
33,ARB00300_USD,0.0,0.0,64989.49,0.0,509257.41,0.0,0.0,0.0,0.0,574246.9
34,ARB00306_USD,0.0,0.0,0.0,0.0,-4650.0,0.0,0.0,0.0,0.0,-4650.0
35,ARB00311_USD,4157.74,0.0,12.0,0.0,177.04,0.0,0.0,0.0,0.0,189.04
36,ARB00320_EUR,13175.0,0.0,-787.2,0.0,0.0,0.0,0.0,0.0,0.0,-787.2
37,ARB00320_GBP,29400.0,0.0,0.0,-1638.72,-504.0,0.0,0.0,0.0,0.0,-2142.7200000000003
38,ARB00354_USD,4180.0,0.0,-249.6,-41.57,-1896.96,0.0,0.0,0.0,0.0,-2188.13
39,ARB00355_EUR,-1925.0,0.0,-16.2,0.0,0.0,0.0,0.0,0.0,0.0,-16.2
40,ARB00355_GBP,-175.0,0.0,0.0,-28.32,-9.6,0.0,0.0,0.0,0.0,-37.92
41,ARB00390_CAD,-1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ARB00390_USD,-53240.0,0.0,-567.6,-2197.8,-1127.32,0.0,0.0,0.0,0.0,-3892.7200000000003
43,ARB00410_EUR,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
44,ARB00410_GBP,80.0,0.0,0.0,-11.0,-4.6000000000000005,0.0,0.0,0.0,0.0,-15.600000000000001
45,ARB00412_EUR,1206.25,0.0,-141.9,0.0,0.0,0.0,0.0,0.0,0.0,-141.9
46,ARB00412_GBP,-2447.5,0.0,0.0,-247.4,-84.2,0.0,0.0,0.0,0.0,-331.6
47,ARB00412_USD,1120.0,0.0,-108.0,-18.0,-820.8,0.0,0.0,0.0,0.0,-946.8
48,ARB00422_EUR,0.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.8
49,ARB00422_GBP,-150.0,0.0,0.0,-17.6,-7.38,0.0,0.0,0.0,0.0,-24.98
50,ARB00422_USD,18086.7,0.0,-733.65,-81.6,-10023.58,0.0,0.0,0.0,0.0,-10838.83
51,ARB00423_CAD,-2368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,ARB00423_EUR,0.0,0.0,-10.8,0.0,0.0,0.0,0.0,0.0,0.0,-10.8
53,ARB00423_GBP,0.0,0.0,0.0,-39.599999999999994,-16.56,0.0,0.0,0.0,0.0,-56.16
54,ARB00423_USD,144992.8,-21048.75,-3086.2499999999995,-695.7,-40758.93000000001,0.0,0.0,0.0,0.0,-44540.880000000005
55,ARB00424_CAD,4432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,ARB00424_EUR,0.0,0.0,-98.4,0.0,0.0,0.0,0.0,0.0,0.0,-98.4
57,ARB00424_GBP,-29090.0,0.0,0.0,-360.79999999999995,-154.26,0.0,0.0,0.0,0.0,-515.06
58,ARB00424_USD,-132683.4,29166.0,-2299.2,-2577.18,-24241.66,0.0,0.0,0.0,0.0,-29118.04
59,ARB00425_EUR,0.0,0.0,-104.1,0.0,0.0,0.0,0.0,0.0,0.0,-104.1
60,ARB00425_GBP,9910.0,0.0,0.0,-381.7,-165.44,0.0,0.0,0.0,0.0,-547.14
61,ARB00425_USD,-18557.4,0.0,-3111.0,-744.0,-41297.200000000004,0.0,0.0,0.0,0.0,-45152.200000000004
62,ARB00426_EUR,0.0,0.0,-34.050000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-34.050000000000004
63,ARB00426_GBP,17200.0,0.0,0.0,-124.85000000000001,-54.02,0.0,0.0,0.0,0.0,-178.87
64,ARB00426_USD,76238.4,0.0,-1009.8,-319.08,-13168.84,0.0,0.0,0.0,0.0,-14497.72
65,ARB00432_EUR,6012.5,0.0,-439.8,0.0,0.0,0.0,0.0,0.0,0.0,-439.8
66,ARB00432_GBP,2975.0,0.0,0.0,-883.2,-276.96,0.0,0.0,0.0,0.0,-1160.16
67,ARB00432_USD,760.0,0.0,-13.8,-2.31,-104.88,0.0,0.0,0.0,0.0,-120.99
68,ARB00435_EUR,0.0,0.0,-4.95,0.0,0.0,0.0,0.0,0.0,0.0,-4.95
69,ARB00435_GBP,0.0,0.0,0.0,-18.15,-7.59,0.0,0.0,0.0,0.0,-25.74
70,ARB00435_USD,7919.2,0.0,-2100.75,0.0,-29410.5,0.0,0.0,0.0,0.0,-31511.25
71,ARB00442_USD,0.0,0.0,-30.0,0.0,-420.0,0.0,0.0,0.0,0.0,-450.0
72,ARB00443_USD,3136.0,0.0,-30.0,0.0,-420.0,0.0,0.0,0.0,0.0,-450.0
73,ARB00446_EUR,0.0,0.0,-88.5,0.0,0.0,0.0,0.0,0.0,0.0,-88.5
74,ARB00446_GBP,2210.0,0.0,0.0,-324.5,-138.22,0.0,0.0,0.0,0.0,-462.72
75,ARB00446_USD,-41259.2,0.0,-859.5,-171.6,-11512.48,0.0,0.0,0.0,0.0,-12543.58
76,ARB00449_EUR,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0
77,ARB00449_GBP,280.0,0.0,0.0,-55.0,-23.32,0.0,0.0,0.0,0.0,-78.32
78,ARB00449_USD,23492.0,0.0,-468.15,-1635.6,-1592.78,0.0,0.0,0.0,0.0,-3696.5299999999997
79,ARB00456_EUR,0.0,0.0,-71.1,0.0,0.0,0.0,0.0,0.0,0.0,-71.1
80,ARB00456_GBP,0.0,0.0,0.0,-137.36,-44.0,0.0,0.0,0.0,0.0,-181.36
81,ARB00456_USD,17000.0,0.0,-442.8,-1246.82,-1610.88,0.0,0.0,0.0,0.0,-3300.5
82,ARB00459_USD,190.0,0.0,-5.4,-0.89,-41.04,0.0,0.0,0.0,0.0,-47.33
83,ARB00460_CAD,-1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,ARB00460_USD,4560.0,0.0,-287.1,0.0,-2536.9,0.0,0.0,0.0,0.0,-2824.0
85,ARB00461_CAD,6850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
