,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
0,ARB00005_USD,0.0,0.0,361169.87,0.0,0.0,0.0,0.0,0.0,0.0,361169.87
1,ARB00020_USD,2475.14,0.0,-173.4,0.0,-225.14000000000001,0.0,0.0,0.0,0.0,-398.54
2,ARB00054_USD,0.0,6430.0,-2758.05,0.0,-6619.32,0.0,0.0,0.0,0.0,-9377.369999999999
3,ARB00055_USD,-2131.35,937.5,-127.5,0.0,-164.5,0.0,0.0,0.0,0.0,-292.0
4,ARB00068_USD,-33667.5,-21517.5,-613.6500000000001,0.0,-1463.53,0.0,0.0,0.0,0.0,-2077.1800000000003
5,ARB00090_USD,99.0,1800.0,-108.75,0.0,-301.34999999999997,0.0,0.0,0.0,0.0,-410.09999999999997
6,ARB00110_USD,21390.0,0.0,-83.7,0.0,-288.38,0.0,0.0,0.0,0.0,-372.08
7,ARB00112_USD,-6100.0,0.0,-61.2,0.0,-77.52,0.0,0.0,0.0,0.0,-138.72
8,ARB00113_USD,0.0,-77.5,-1.8,0.0,-4.32,0.0,0.0,0.0,0.0,-6.12
9,ARB00123_USD,-85447.5,-107700.0,-41.4,0.0,-126.14,0.0,0.0,0.0,0.0,-167.54
10,ARB00124_USD,-45487.0,0.0,-136.05,0.0,-500.79,0.0,0.0,0.0,0.0,-636.84
11,ARB00126_USD,-53.0,0.0,-9.15,0.0,-34.16,0.0,0.0,0.0,0.0,-43.309999999999995
12,ARB00132_USD,251.25,3217.5,-348.6,0.0,-826.04,0.0,0.0,0.0,0.0,-1174.6399999999999
13,ARB00135_USD,-2520.0,0.0,-5.4,0.0,-18.36,0.0,0.0,0.0,0.0,-23.759999999999998
14,ARB00143_USD,37.5,0.0,-6.15,0.0,-22.96,0.0,0.0,0.0,0.0,-29.11
15,ARB00146_USD,500.0,0.0,-10.8,0.0,-36.72,0.0,0.0,0.0,0.0,-47.519999999999996
16,ARB00149_USD,-11109.3,0.0,-89.85,0.0,-409.2,0.0,0.0,0.0,0.0,-499.04999999999995
17,ARB00156_USD,153351.6,31032.5,-2193.6,0.0,-5513.76,0.0,0.0,0.0,0.0,-7707.360000000001
18,ARB00160_USD,991.0,0.0,-161.25,0.0,-630.8000000000001,0.0,0.0,0.0,0.0,-792.0500000000001
19,ARB00161_USD,-14119.5,0.0,-174.45,0.0,-516.92,0.0,0.0,0.0,0.0,-691.3699999999999
20,ARB00169_USD,24305.0,0.0,-1506.45,0.0,-9010.69,0.0,0.0,0.0,0.0,-10517.140000000001
21,ARB00186_USD,83614.3999999999,0.0,-55.8,0.0,-208.79,0.0,0.0,0.0,0.0,-264.59
22,ARB00188_USD,2970.0,0.0,-34.2,0.0,-185.94,0.0,0.0,0.0,0.0,-220.14
23,ARB00193_USD,45039.5,0.0,-749.85,0.0,-2602.7999999999997,0.0,0.0,0.0,0.0,-3352.6499999999996
24,ARB00194_USD,31202.5,0.0,-585.0,0.0,-2110.9,0.0,0.0,0.0,0.0,-2695.9
25,ARB00214_USD,2400.36,0.0,-189.0,0.0,-604.3199999999999,0.0,0.0,0.0,0.0,-793.3199999999999
