,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
0,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D24300,ARB00017_USD,,,,817.5,,,,,,C00017,,,,
1,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D24300,ARB00020_USD,,,,,92983.85,,,,,C00020,,,,
2,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D21300,ARB00033_USD,,,,,14476.200000001043,,,,,C00033,,,,
3,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D21300,ARB00054_USD,,,,78395.0,,,,,,C00054,,,,
4,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D21300,ARB00055_USD,,,,,68825.0,,,,,C00054,,,,
5,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D21300,ARB00068_USD,,,,,58218.75,,,,,C03068,,,,
6,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D21300,ARB00090_USD,,,,,10877.900000000001,,,,,C00090,,,,
7,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23300,ARB00110_USD,,,,1280.0,,,,,,C00110,,,,
8,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23300,ARB00112_USD,,,,,17525.0,,,,,C00112,,,,
9,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23300,ARB00113_USD,,,,,1510.0,,,,,C00112,,,,
10,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23300,ARB00122_USD,,,,4164.0,,,,,,C00122,,,,
11,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23080,ARB00123_USD,,,,213793.0,,,,,,C01231,,,,
12,,GJ,3/24/2026,,"Wedbush_Trading gain (loss), net_20260324",,,,12100,303P,D23020,ARB00124_USD,,,,,85756.44,,,,,C00124,,,,
