,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00020_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00020_USD,,,,35066.1,,,,,,,,,,
ARB00054_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00054_USD,,,,10815.0,,,,,,,,,,
ARB00055_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00055_USD,,,,,5929.850000000006,,,,,,,,,
ARB00068_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00068_USD,,,,,32102.5,,,,,,,,,
ARB00090_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00090_USD,,,,,9640.5,,,,,,,,,
ARB00110_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00110_USD,,,,167.5,,,,,,,,,,
ARB00112_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00112_USD,,,,2582.5,,,,,,,,,,
ARB00113_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00113_USD,,,,27.819999999999936,,,,,,,,,,
ARB00122_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00122_USD,,,,,9630.5,,,,,,,,,
ARB00123_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00123_USD,,,,,70240.0,,,,,,,,,
ARB00124_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00124_USD,,,,,16162.0,,,,,,,,,
ARB00126_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00126_USD,,,,1426.5,,,,,,,,,,
ARB00132_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00132_USD,,,,9352.5,,,,,,,,,,
ARB00135_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00135_USD,,,,,5582.5,,,,,,,,,
ARB00143_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00143_USD,,,,3019.0,,,,,,,,,,
ARB00146_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00146_USD,,,,,7880.0,,,,,,,,,
ARB00149_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00149_USD,,,,,3872.500000000002,,,,,,,,,
ARB00156_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00156_USD,,,,89320.75,,,,,,,,,,
ARB00160_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00160_USD,,,,,1905.5,,,,,,,,,
ARB00161_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00161_USD,,,,,12772.75,,,,,,,,,
ARB00169_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00169_USD,,,,18904.520000000004,,,,,,,,,,
ARB00186_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00186_USD,,,,,85.59999999999854,,,,,,,,,
ARB00188_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00188_USD,,,,,3174.5,,,,,,,,,
ARB00193_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00193_USD,,,,,9124.0,,,,,,,,,
ARB00194_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00194_USD,,,,32314.4,,,,,,,,,,
ARB00203_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00203_USD,,,,10.0,,,,,,,,,,
ARB00214_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00214_USD,,,,4832.6,,,,,,,,,,
ARB00215_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00215_USD,,,,18840.26,,,,,,,,,,
ARB00220_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00220_USD,,,,9827.9,,,,,,,,,,
ARB00257_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00257_USD,,,,17382.84,,,,,,,,,,
ARB00267_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00267_USD,,,,6908.769999999997,,,,,,,,,,
ARB00311_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00311_USD,,,,4157.74,,,,,,,,,,
ARB00320_EUR,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00320_EUR,,,,4825.0,,,,,,,,,,
ARB00320_GBP,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00320_GBP,,,,4850.0,,,,,,,,,,
ARB00354_USD,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00354_USD,,,,3092.8,,,,,,,,,,
ARB00355_EUR,,,,,"Wedbush_Trading gain (loss), net_20260529",,,,12100,,,ARB00355_EUR,,,,687.5,,,,,,,,,,
