,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00020_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00020_USD,,,,17045.4,,,,,,,,,,
ARB00054_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00054_USD,,,,,22.639999999999418,,,,,,,,,
ARB00055_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00055_USD,,,,,4085.7500000000055,,,,,,,,,
ARB00068_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00068_USD,,,,,50936.330000000016,,,,,,,,,
ARB00090_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00090_USD,,,,,13415.24,,,,,,,,,
ARB00110_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00110_USD,,,,,4809.0,,,,,,,,,
ARB00112_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00112_USD,,,,727.0,,,,,,,,,,
ARB00113_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00113_USD,,,,,209.32000000000016,,,,,,,,,
ARB00122_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00122_USD,,,,,9738.27,,,,,,,,,
ARB00123_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00123_USD,,,,,49544.54000000001,,,,,,,,,
ARB00124_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00124_USD,,,,,18262.52,,,,,,,,,
ARB00126_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00126_USD,,,,,40.91000000000008,,,,,,,,,
ARB00132_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00132_USD,,,,5051.080000000002,,,,,,,,,,
ARB00135_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00135_USD,,,,,7581.86,,,,,,,,,
ARB00143_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00143_USD,,,,2791.95,,,,,,,,,,
ARB00146_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00146_USD,,,,,10558.6,,,,,,,,,
ARB00149_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00149_USD,,,,7735.78,,,,,,,,,,
ARB00156_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00156_USD,,,,63287.359999999986,,,,,,,,,,
ARB00160_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00160_USD,,,,,284.97,,,,,,,,,
ARB00161_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00161_USD,,,,,13378.07,,,,,,,,,
ARB00169_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00169_USD,,,,5344.810000000005,,,,,,,,,,
ARB00186_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00186_USD,,,,502.52000000000044,,,,,,,,,,
ARB00188_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00188_USD,,,,,3878.5499999999993,,,,,,,,,
ARB00193_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00193_USD,,,,,13655.570000000007,,,,,,,,,
ARB00194_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00194_USD,,,,16825.149999999994,,,,,,,,,,
ARB00214_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00214_USD,,,,807.17,,,,,,,,,,
ARB00215_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00215_USD,,,,1487.6800000000003,,,,,,,,,,
ARB00220_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00220_USD,,,,2688.01,,,,,,,,,,
ARB00257_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00257_USD,,,,5125.51,,,,,,,,,,
ARB00267_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00267_USD,,,,2448.2299999999996,,,,,,,,,,
ARB00311_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00311_USD,,,,4346.78,,,,,,,,,,
ARB00320_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00320_EUR,,,,6205.1,,,,,,,,,,
ARB00320_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00320_GBP,,,,4534.32,,,,,,,,,,
ARB00354_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00354_USD,,,,7024.35,,,,,,,,,,
ARB00355_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00355_EUR,,,,623.6999999999998,,,,,,,,,,
ARB00355_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00355_GBP,,,,,805.88,,,,,,,,,
ARB00390_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00390_CAD,,,,,1450.0,,,,,,,,,
ARB00390_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00390_USD,,,,,107909.16,,,,,,,,,
ARB00410_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00410_EUR,,,,,2.4,,,,,,,,,
ARB00410_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00410_GBP,,,,,47.480000000000004,,,,,,,,,
ARB00412_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00412_EUR,,,,631.8,,,,,,,,,,
ARB00412_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00412_GBP,,,,,2232.36,,,,,,,,,
ARB00412_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00412_USD,,,,,109.28999999999996,,,,,,,,,
ARB00422_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00422_EUR,,,,,4.8,,,,,,,,,
ARB00422_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00422_GBP,,,,,184.98,,,,,,,,,
ARB00422_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00422_USD,,,,4078.0700000000015,,,,,,,,,,
ARB00423_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00423_CAD,,,,,4864.0,,,,,,,,,
ARB00423_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00423_EUR,,,,,6.6,,,,,,,,,
ARB00423_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00423_GBP,,,,,34.32,,,,,,,,,
ARB00423_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00423_USD,,,,40339.81999999999,,,,,,,,,,
ARB00424_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00424_CAD,,,,,4576.0,,,,,,,,,
ARB00424_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00424_EUR,,,,,84.45,,,,,,,,,
ARB00424_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00424_GBP,,,,,9872.21,,,,,,,,,
ARB00424_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00424_USD,,,,38512.74000000002,,,,,,,,,,
ARB00425_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00425_EUR,,,,,101.1,,,,,,,,,
ARB00425_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00425_GBP,,,,5238.66,,,,,,,,,,
ARB00425_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00425_USD,,,,,24877.980000000003,,,,,,,,,
ARB00426_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00426_EUR,,,,,31.05,,,,,,,,,
ARB00426_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00426_GBP,,,,5466.93,,,,,,,,,,
ARB00426_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00426_USD,,,,,5089.850000000006,,,,,,,,,
ARB00432_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00432_EUR,,,,2005.6999999999998,,,,,,,,,,
ARB00432_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00432_GBP,,,,,1941.56,,,,,,,,,
ARB00432_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00432_USD,,,,192.13,,,,,,,,,,
ARB00435_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00435_EUR,,,,,3.9,,,,,,,,,
ARB00435_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00435_GBP,,,,,20.28,,,,,,,,,
ARB00435_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00435_USD,,,,,1696.6500000000015,,,,,,,,,
ARB00442_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00442_USD,,,,230.0,,,,,,,,,,
ARB00443_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00443_USD,,,,199.5999999999999,,,,,,,,,,
ARB00446_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00446_EUR,,,,,68.1,,,,,,,,,
ARB00446_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00446_GBP,,,,,1156.1200000000008,,,,,,,,,
ARB00446_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00446_USD,,,,,2518.529999999999,,,,,,,,,
ARB00449_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00449_EUR,,,,,13.8,,,,,,,,,
ARB00449_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00449_GBP,,,,207.92000000000002,,,,,,,,,,
ARB00449_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00449_USD,,,,9768.070000000014,,,,,,,,,,
ARB00456_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_EUR,,,,,558.6,,,,,,,,,
ARB00456_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_GBP,,,,,1493.8600000000001,,,,,,,,,
ARB00456_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_USD,,,,17214.19,,,,,,,,,,
ARB00460_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00460_CAD,,,,,3240.0,,,,,,,,,
